Age,MonthlyIncome,Attrition,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male
33.0,2496.0,0,924.0,2.0,3.0,39.0,3.0,78.0,3.0,1.0,Laboratory Technician,4.0,Single,6670.0,4.0,No,11.0,3.0,4.0,0.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
44.0,6465.0,0,1459.0,10.0,4.0,40.0,4.0,41.0,3.0,2.0,Healthcare Representative,4.0,Married,19121.0,2.0,Yes,13.0,3.0,4.0,0.0,9.0,5.0,4.0,4.0,2.0,1.0,3.0,False,False,True,False,True,False,False,False,False,False,True,False,False,True
30.0,2206.0,0,125.0,9.0,2.0,41.0,4.0,83.0,2.0,1.0,Laboratory Technician,3.0,Single,16117.0,1.0,No,13.0,3.0,1.0,0.0,10.0,5.0,3.0,10.0,0.0,1.0,8.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
39.0,2086.0,1,895.0,5.0,3.0,42.0,4.0,56.0,3.0,2.0,Sales Representative,4.0,Married,3335.0,3.0,No,14.0,3.0,3.0,1.0,19.0,6.0,4.0,1.0,0.0,0.0,0.0,False,False,True,False,False,True,False,False,False,False,False,True,False,True
24.0,2293.0,1,813.0,1.0,3.0,45.0,2.0,61.0,3.0,1.0,Research Scientist,4.0,Married,3020.0,2.0,Yes,16.0,3.0,1.0,1.0,6.0,2.0,2.0,2.0,0.0,2.0,0.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
43.0,2645.0,0,1273.0,2.0,2.0,46.0,4.0,72.0,4.0,1.0,Research Scientist,3.0,Divorced,21923.0,1.0,No,12.0,3.0,4.0,2.0,6.0,3.0,2.0,5.0,3.0,1.0,4.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False
50.0,2683.0,1,869.0,3.0,2.0,47.0,1.0,86.0,2.0,1.0,Sales Representative,3.0,Married,3810.0,1.0,Yes,14.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,False,False,True,False,False,True,False,False,True,False,False,False,False,True
35.0,2014.0,0,890.0,2.0,3.0,49.0,4.0,97.0,3.0,1.0,Sales Representative,4.0,Married,9687.0,1.0,No,13.0,3.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,False,False,True,False,False,True,False,False,True,False,False,False,True,False
36.0,3419.0,0,852.0,5.0,4.0,51.0,2.0,82.0,2.0,1.0,Research Scientist,1.0,Married,13072.0,9.0,Yes,14.0,3.0,4.0,1.0,6.0,3.0,4.0,1.0,1.0,0.0,0.0,False,False,True,False,True,False,False,True,False,False,False,False,True,False
33.0,5376.0,0,1141.0,1.0,3.0,52.0,3.0,42.0,4.0,2.0,Sales Executive,1.0,Married,3193.0,2.0,No,19.0,3.0,1.0,2.0,10.0,3.0,3.0,5.0,3.0,1.0,3.0,False,True,False,False,False,True,False,True,False,False,False,False,True,False
35.0,1951.0,0,464.0,4.0,2.0,53.0,3.0,75.0,3.0,1.0,Laboratory Technician,4.0,Divorced,10910.0,1.0,No,12.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,False,False,True,False,True,False,False,False,False,False,True,False,False,True
27.0,2341.0,0,1240.0,2.0,4.0,54.0,4.0,33.0,3.0,1.0,Laboratory Technician,1.0,Divorced,19715.0,1.0,No,13.0,3.0,4.0,1.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,False,False,True,False,True,False,False,True,False,False,False,False,True,False
26.0,2293.0,1,1357.0,25.0,3.0,55.0,1.0,48.0,1.0,1.0,Laboratory Technician,3.0,Single,10558.0,1.0,No,12.0,3.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
27.0,8726.0,0,994.0,8.0,3.0,56.0,4.0,37.0,3.0,3.0,Sales Executive,3.0,Single,2975.0,1.0,No,15.0,3.0,4.0,0.0,9.0,0.0,3.0,9.0,8.0,1.0,7.0,False,True,False,False,False,True,False,True,False,False,False,False,False,True
30.0,4011.0,0,721.0,1.0,2.0,57.0,3.0,58.0,3.0,2.0,Laboratory Technician,4.0,Single,10781.0,1.0,No,23.0,4.0,4.0,0.0,12.0,2.0,3.0,12.0,8.0,3.0,7.0,False,True,False,False,True,False,False,False,False,True,False,False,True,False
41.0,19545.0,1,1360.0,12.0,3.0,58.0,2.0,49.0,3.0,5.0,Research Director,3.0,Married,16280.0,1.0,No,12.0,3.0,4.0,0.0,23.0,0.0,3.0,22.0,15.0,15.0,8.0,False,False,True,False,True,False,False,False,False,False,False,True,True,False
34.0,4568.0,0,1065.0,23.0,4.0,60.0,2.0,72.0,3.0,2.0,Sales Executive,3.0,Single,10034.0,0.0,No,20.0,4.0,3.0,0.0,10.0,2.0,3.0,9.0,5.0,8.0,7.0,True,False,False,False,False,True,False,False,True,False,False,False,False,True
37.0,3022.0,0,408.0,19.0,2.0,61.0,2.0,73.0,3.0,1.0,Research Scientist,2.0,Married,10227.0,4.0,No,21.0,4.0,1.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
46.0,5772.0,0,1211.0,5.0,4.0,62.0,1.0,98.0,3.0,2.0,Sales Executive,4.0,Single,20445.0,4.0,Yes,21.0,4.0,3.0,0.0,14.0,4.0,3.0,9.0,6.0,0.0,8.0,False,True,False,False,False,True,False,False,True,False,False,False,False,True
35.0,2269.0,0,1229.0,8.0,1.0,63.0,4.0,36.0,4.0,1.0,Laboratory Technician,4.0,Married,4892.0,1.0,No,19.0,3.0,4.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
48.0,5381.0,1,626.0,1.0,2.0,64.0,1.0,98.0,2.0,3.0,Laboratory Technician,3.0,Single,19294.0,9.0,Yes,13.0,3.0,4.0,0.0,23.0,2.0,3.0,1.0,0.0,0.0,0.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
28.0,3441.0,1,1434.0,5.0,4.0,65.0,3.0,50.0,3.0,1.0,Laboratory Technician,3.0,Single,11179.0,1.0,Yes,13.0,3.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,False,False,True,False,True,False,False,False,False,False,False,True,False,True
44.0,5454.0,0,1488.0,1.0,5.0,68.0,2.0,75.0,3.0,2.0,Sales Executive,1.0,Divorced,4009.0,5.0,Yes,21.0,4.0,3.0,1.0,9.0,2.0,2.0,4.0,3.0,1.0,3.0,False,False,True,False,False,True,False,False,True,False,False,False,True,False
35.0,9884.0,0,1097.0,11.0,2.0,70.0,3.0,79.0,2.0,3.0,Healthcare Representative,1.0,Married,8302.0,2.0,Yes,13.0,3.0,3.0,1.0,10.0,3.0,3.0,4.0,0.0,2.0,3.0,True,False,False,False,True,False,False,False,False,True,False,False,False,True
26.0,4157.0,0,1443.0,23.0,3.0,72.0,3.0,47.0,2.0,2.0,Sales Executive,4.0,Married,21436.0,7.0,Yes,19.0,3.0,3.0,1.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,False,False,True,False,False,True,False,False,True,False,False,False,True,False
33.0,13458.0,0,515.0,1.0,2.0,73.0,1.0,98.0,3.0,3.0,Research Director,4.0,Single,15146.0,1.0,Yes,12.0,3.0,3.0,0.0,15.0,1.0,3.0,15.0,14.0,8.0,12.0,False,True,False,False,True,False,False,True,False,False,False,False,True,False
35.0,9069.0,0,853.0,18.0,5.0,74.0,2.0,71.0,3.0,3.0,Sales Executive,1.0,Married,11031.0,1.0,No,22.0,4.0,4.0,1.0,9.0,3.0,2.0,9.0,8.0,1.0,8.0,False,True,False,False,False,True,False,True,False,False,False,False,False,True
35.0,4014.0,0,1142.0,23.0,4.0,75.0,3.0,30.0,3.0,1.0,Laboratory Technician,1.0,Married,16002.0,3.0,Yes,15.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False
31.0,5915.0,0,655.0,7.0,4.0,76.0,4.0,48.0,3.0,2.0,Laboratory Technician,4.0,Divorced,9528.0,3.0,No,22.0,4.0,4.0,1.0,10.0,3.0,2.0,7.0,7.0,1.0,7.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
37.0,5993.0,0,1115.0,1.0,4.0,77.0,1.0,51.0,2.0,2.0,Manufacturing Director,3.0,Divorced,2689.0,1.0,No,18.0,3.0,3.0,1.0,7.0,2.0,4.0,7.0,5.0,0.0,7.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
32.0,6162.0,0,427.0,1.0,3.0,78.0,1.0,33.0,3.0,2.0,Manufacturing Director,4.0,Married,10877.0,1.0,Yes,22.0,4.0,2.0,1.0,9.0,3.0,3.0,9.0,8.0,7.0,8.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
38.0,2406.0,0,653.0,29.0,5.0,79.0,4.0,50.0,3.0,2.0,Laboratory Technician,4.0,Single,5456.0,1.0,No,11.0,3.0,4.0,0.0,10.0,2.0,3.0,10.0,3.0,9.0,9.0,False,True,False,False,True,False,False,True,False,False,False,False,True,False
50.0,18740.0,0,989.0,7.0,2.0,80.0,2.0,43.0,2.0,5.0,Research Director,3.0,Divorced,16701.0,5.0,Yes,12.0,3.0,4.0,1.0,29.0,2.0,2.0,27.0,3.0,13.0,8.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False
59.0,7637.0,0,1435.0,25.0,3.0,81.0,1.0,99.0,3.0,3.0,Sales Executive,1.0,Single,2354.0,7.0,No,11.0,3.0,4.0,0.0,28.0,3.0,2.0,21.0,16.0,7.0,9.0,False,False,True,False,False,True,False,True,False,False,False,False,True,False
36.0,10096.0,0,1223.0,8.0,3.0,83.0,3.0,59.0,3.0,3.0,Healthcare Representative,3.0,Divorced,8202.0,1.0,No,13.0,3.0,2.0,3.0,17.0,2.0,3.0,17.0,14.0,12.0,8.0,False,False,True,False,True,False,False,False,False,False,False,True,True,False
55.0,14756.0,0,836.0,8.0,3.0,84.0,4.0,33.0,3.0,4.0,Manager,3.0,Divorced,19730.0,2.0,Yes,14.0,3.0,3.0,3.0,21.0,2.0,3.0,5.0,0.0,0.0,2.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False
36.0,6499.0,0,1195.0,11.0,3.0,85.0,2.0,95.0,2.0,2.0,Manufacturing Director,2.0,Single,22656.0,1.0,No,13.0,3.0,3.0,0.0,6.0,3.0,3.0,6.0,5.0,0.0,3.0,False,True,False,False,True,False,False,True,False,False,False,False,False,True
45.0,9724.0,0,1339.0,7.0,3.0,86.0,2.0,59.0,3.0,3.0,Research Scientist,1.0,Divorced,18787.0,2.0,No,17.0,3.0,3.0,1.0,25.0,2.0,3.0,1.0,0.0,0.0,0.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
35.0,2194.0,0,664.0,1.0,3.0,88.0,2.0,79.0,3.0,1.0,Research Scientist,1.0,Married,5868.0,4.0,No,13.0,3.0,4.0,1.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,False,True,False,False,True,False,False,False,False,True,False,False,False,True
36.0,3388.0,1,318.0,9.0,3.0,90.0,4.0,79.0,2.0,1.0,Research Scientist,3.0,Married,21777.0,0.0,Yes,17.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
59.0,5473.0,0,1225.0,1.0,1.0,91.0,1.0,57.0,2.0,2.0,Sales Executive,3.0,Single,24668.0,7.0,No,11.0,3.0,4.0,0.0,20.0,2.0,2.0,4.0,3.0,1.0,3.0,False,True,False,False,False,True,False,True,False,False,False,False,True,False
29.0,2703.0,0,1328.0,2.0,3.0,94.0,3.0,76.0,3.0,1.0,Research Scientist,2.0,Married,4956.0,0.0,No,23.0,4.0,4.0,1.0,6.0,3.0,3.0,5.0,4.0,0.0,4.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
31.0,2501.0,0,1082.0,1.0,4.0,95.0,3.0,87.0,3.0,1.0,Research Scientist,2.0,Single,18775.0,1.0,No,17.0,3.0,2.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
32.0,6220.0,0,548.0,1.0,3.0,96.0,2.0,66.0,3.0,2.0,Research Scientist,2.0,Married,7346.0,1.0,No,17.0,3.0,2.0,2.0,10.0,3.0,3.0,10.0,4.0,0.0,9.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
36.0,3038.0,0,132.0,6.0,3.0,97.0,2.0,55.0,4.0,1.0,Laboratory Technician,4.0,Married,22002.0,3.0,No,12.0,3.0,2.0,0.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,False,False,True,False,True,False,False,True,False,False,False,False,True,False
31.0,4424.0,0,746.0,8.0,4.0,98.0,3.0,61.0,3.0,2.0,Manufacturing Director,4.0,Single,20682.0,1.0,No,23.0,4.0,4.0,0.0,11.0,2.0,3.0,11.0,7.0,1.0,8.0,False,False,True,False,True,False,False,True,False,False,False,False,True,False
35.0,4312.0,0,776.0,1.0,4.0,100.0,3.0,32.0,2.0,2.0,Sales Executive,1.0,Single,23016.0,0.0,No,14.0,3.0,2.0,0.0,16.0,2.0,3.0,15.0,13.0,2.0,8.0,False,False,True,False,False,True,False,False,True,False,False,False,False,True
45.0,13245.0,0,193.0,6.0,4.0,101.0,4.0,52.0,3.0,3.0,Research Director,1.0,Married,15067.0,4.0,Yes,14.0,3.0,2.0,0.0,17.0,3.0,4.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,False,False,False,False,True,False,False,True
37.0,13664.0,0,397.0,7.0,4.0,102.0,1.0,30.0,3.0,3.0,Research Director,3.0,Single,25258.0,4.0,No,13.0,3.0,1.0,0.0,16.0,3.0,4.0,5.0,2.0,0.0,2.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
46.0,5021.0,0,945.0,5.0,2.0,103.0,2.0,80.0,3.0,2.0,Human Resources,2.0,Divorced,10425.0,8.0,Yes,22.0,4.0,4.0,1.0,16.0,2.0,3.0,4.0,2.0,0.0,2.0,False,False,True,True,False,False,False,False,False,True,False,False,False,True
30.0,5126.0,0,852.0,1.0,1.0,104.0,4.0,55.0,2.0,2.0,Laboratory Technician,4.0,Married,15998.0,1.0,Yes,12.0,3.0,3.0,2.0,10.0,1.0,2.0,10.0,8.0,3.0,0.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
35.0,2859.0,0,1214.0,1.0,3.0,105.0,2.0,30.0,2.0,1.0,Research Scientist,3.0,Single,26278.0,1.0,No,18.0,3.0,1.0,0.0,6.0,3.0,3.0,6.0,4.0,0.0,4.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
55.0,10239.0,0,111.0,1.0,2.0,106.0,1.0,70.0,3.0,3.0,Sales Executive,4.0,Married,18092.0,3.0,No,14.0,3.0,4.0,1.0,24.0,4.0,3.0,1.0,0.0,1.0,0.0,False,False,True,False,False,True,False,True,False,False,False,False,False,True
38.0,5329.0,0,573.0,6.0,3.0,107.0,2.0,79.0,1.0,2.0,Research Scientist,4.0,Divorced,15717.0,7.0,Yes,12.0,3.0,4.0,3.0,17.0,3.0,3.0,13.0,11.0,1.0,9.0,True,False,False,False,True,False,False,False,False,True,False,False,True,False
34.0,4325.0,0,1153.0,1.0,2.0,110.0,1.0,94.0,3.0,2.0,Manufacturing Director,2.0,Married,17736.0,1.0,No,15.0,3.0,3.0,0.0,5.0,2.0,3.0,5.0,2.0,1.0,3.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
56.0,7260.0,0,1400.0,7.0,3.0,112.0,4.0,49.0,1.0,3.0,Manufacturing Director,4.0,Single,21698.0,4.0,No,11.0,3.0,1.0,0.0,37.0,3.0,2.0,6.0,4.0,0.0,2.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
23.0,2322.0,0,541.0,2.0,1.0,113.0,3.0,62.0,3.0,1.0,Sales Representative,1.0,Divorced,9518.0,3.0,No,13.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,False,False,True,False,False,True,False,False,False,False,False,True,False,True
51.0,2075.0,0,432.0,9.0,4.0,116.0,4.0,96.0,3.0,1.0,Laboratory Technician,4.0,Married,18725.0,3.0,No,23.0,4.0,2.0,2.0,10.0,4.0,3.0,4.0,2.0,0.0,3.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
30.0,4152.0,0,288.0,2.0,3.0,117.0,3.0,99.0,2.0,2.0,Healthcare Representative,4.0,Married,15830.0,1.0,No,19.0,3.0,1.0,3.0,11.0,3.0,3.0,11.0,10.0,10.0,8.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
46.0,9619.0,1,669.0,9.0,2.0,118.0,3.0,64.0,2.0,3.0,Sales Executive,4.0,Single,13596.0,1.0,No,16.0,3.0,4.0,0.0,9.0,3.0,3.0,9.0,8.0,4.0,7.0,False,False,True,False,False,True,False,False,False,True,False,False,False,True
40.0,13503.0,0,530.0,1.0,4.0,119.0,3.0,78.0,2.0,4.0,Healthcare Representative,2.0,Married,14115.0,1.0,No,22.0,4.0,4.0,1.0,22.0,3.0,2.0,22.0,3.0,11.0,11.0,False,True,False,False,True,False,False,True,False,False,False,False,False,True
51.0,5441.0,0,632.0,21.0,4.0,120.0,3.0,71.0,3.0,2.0,Sales Executive,4.0,Single,8423.0,0.0,Yes,22.0,4.0,4.0,0.0,11.0,2.0,1.0,10.0,7.0,1.0,0.0,False,False,True,False,False,True,False,False,True,False,False,False,False,True
30.0,5209.0,0,1334.0,4.0,2.0,121.0,3.0,63.0,2.0,2.0,Sales Executive,2.0,Divorced,19760.0,1.0,Yes,12.0,3.0,2.0,3.0,11.0,4.0,2.0,11.0,8.0,2.0,7.0,False,False,True,False,False,True,False,False,False,True,False,False,True,False
